apartment_name,region_name,legal_dong,jibun,road_name,deal_type,deal_year,deal_month,deal_day,deal_amount,area,floor,longitude,latitude,coordinate_source,coordinates_wkt
갤러리빌2,유성구,,,,매매,,,,,,,127.3370819,36.35836827,apt_master_info,POINT(127.3370819 36.35836827)
해태,강서구,,,,전세,,,,,,,126.8157707,37.5637275,apt_master_info,POINT(126.8157707 37.5637275)
동래화신타운,연제구,,,,매매,,,,,,,129.0885968,35.1928807,apt_master_info,POINT(129.0885968 35.1928807)
당산삼성래미안4차,영등포구,,,,매매,,,,,,,126.978688,37.61094826,apt_master_info,POINT(126.978688 37.61094826)
수완지구호반베르디움1차,광산구,,,,매매,,,,,,,126.8214741,35.18465898,apt_master_info,POINT(126.8214741 35.18465898)
삼익세라믹,동구,,,,매매,,,,,,,127.4609327,36.29805749,apt_master_info,POINT(127.4609327 36.29805749)
리츠캐슬,부산진구,,,,매매,,,,,,,129.0620635,35.14470032,apt_master_info,POINT(129.0620635 35.14470032)
태평,중구,,,,매매,,,,,,,127.3994881,36.32387762,apt_master_info,POINT(127.3994881 36.32387762)
일신2,북구,,,,매매,,,,,,,126.8702248,35.18114578,apt_master_info,POINT(126.8702248 35.18114578)
그랜드센트럴,동구,,,,매매,,,,,,,126.9153565,35.15706786,apt_master_info,POINT(126.9153565 35.15706786)
주공1,동구,,,,매매,,,,,,,127.4633866,36.31608318,apt_master_info,POINT(127.4633866 36.31608318)
현대,계양구,,,,매매,,,,,,,126.730954,37.53765267,apt_master_info,POINT(126.730954 37.53765267)
송도웰카운티4단지,연수구,,,,전세,,,,,,,126.6447333,37.38153602,apt_master_info,POINT(126.6447333 37.38153602)
"현대1차(12,13,21,22,31,32,33동)",강남구,,,,매매,,,,,,,127.0216345,37.56001954,apt_master_info,POINT(127.0216345 37.56001954)
효천2지구중흥S-클래스,남구,,,,매매,,,,,,,126.8439099,37.52651507,apt_master_info,POINT(126.8439099 37.52651507)
더샵서초,서초구,,,,매매,,,,,,,127.0182448,37.48407574,apt_master_info,POINT(127.0182448 37.48407574)
성안에일린8차,중구,,,,매매,,,,,,,129.3177711,35.57780926,apt_master_info,POINT(129.3177711 35.57780926)
미주프라자,영등포구,,,,매매,,,,,,,126.8887347,37.51826526,apt_master_info,POINT(126.8887347 37.51826526)
경희궁자이(2단지),종로구,,,,월세,,,,,,,126.9637012,37.57023268,apt_master_info,POINT(126.9637012 37.57023268)
대림역포스큐,구로구,,,,매매,,,,,,,126.8920089,37.49819851,apt_master_info,POINT(126.8920089 37.49819851)
청라29블럭호반베르디움,서구,,,,매매,,,,,,,126.6387546,37.52748042,apt_master_info,POINT(126.6387546 37.52748042)
동아청솔,도봉구,,,,전세,,,,,,,127.0483829,37.65785651,apt_master_info,POINT(127.0483829 37.65785651)
대원레스피아1차,서구,,,,매매,,,,,,,126.6589878,37.61365528,apt_master_info,POINT(126.6589878 37.61365528)
가람마을,달서구,,,,매매,,,,,,,128.5412288,35.80771048,apt_master_info,POINT(128.5412288 35.80771048)
유성캠퍼스타워-I,유성구,,,,매매,,,,,,,127.009312,37.57534437,apt_master_info,POINT(127.009312 37.57534437)
주공13단지(푸르내마을),남동구,,,,매매,,,,,,,126.7349545,37.40703807,apt_master_info,POINT(126.7349545 37.40703807)
임동2차국제미소래아파트,북구,,,,월세,,,,,,,126.9028558,35.16144011,apt_master_info,POINT(126.9028558 35.16144011)
천호롯데아파트,강동구,,,,매매,,,,,,,127.1380154,37.54148455,apt_master_info,POINT(127.1380154 37.54148455)
서초포레스타5단지,서초구,,,,매매,,,,,,,127.0573072,37.45154877,apt_master_info,POINT(127.0573072 37.45154877)
인천용현엑슬루타워,미추홀구,,,,매매,,,,,,,126.6373576,37.45731219,apt_master_info,POINT(126.6373576 37.45731219)
보성제이드,양천구,,,,매매,,,,,,,126.859144,37.52613352,apt_master_info,POINT(126.859144 37.52613352)
영종국제도시화성파크드림2차,중구,,,,매매,,,,,,,126.5487546,37.48700892,apt_master_info,POINT(126.5487546 37.48700892)
골든리버,대덕구,,,,매매,,,,,,,127.4303528,36.4497136,apt_master_info,POINT(127.4303528 36.4497136)
태영,기장군,,,,매매,,,,,,,129.2179957,35.2557926,apt_master_info,POINT(129.2179957 35.2557926)
루원e-편한세상하늘채아파트,서구,,,,매매,,,,,,,126.9324853,37.49753123,apt_master_info,POINT(126.9324853 37.49753123)
우성2,서구,,,,매매,,,,,,,126.8734899,35.13720692,apt_master_info,POINT(126.8734899 35.13720692)
상아1차아파트,도봉구,,,,월세,,,,,,,127.0422535,37.65403407,apt_master_info,POINT(127.0422535 37.65403407)
나이스뷰,남동구,,,,매매,,,,,,,126.7061541,37.45284296,apt_master_info,POINT(126.7061541 37.45284296)
우방아이유쉘,광산구,,,,매매,,,,,,,126.7827915,35.12816876,apt_master_info,POINT(126.7827915 35.12816876)
이지더원3차,기장군,,,,매매,,,,,,,126.9324853,37.49753123,apt_master_info,POINT(126.9324853 37.49753123)
청라디마크,달서구,,,,전세,,,,,,,128.5717246,35.85595869,apt_master_info,POINT(128.5717246 35.85595869)
우정혁신도시2차동원로얄듀크,중구,,,,매매,,,,,,,129.2944364,35.56112311,apt_master_info,POINT(129.2944364 35.56112311)
루원e-편한세상하늘채아파트,서구,,,,매매,,,,,,,126.9324853,37.49753123,apt_master_info,POINT(126.9324853 37.49753123)
경향렉스빌,은평구,,,,매매,,,,,,,126.9256921,37.60077143,apt_master_info,POINT(126.9256921 37.60077143)
주공19단지(창동리버타운),도봉구,,,,전세,,,,,,,126.989303,37.54256684,apt_master_info,POINT(126.989303 37.54256684)
중흥파크맨션2,북구,,,,매매,,,,,,,126.9232353,35.18385635,apt_master_info,POINT(126.9232353 35.18385635)
연산롯데캐슬골드포레,연제구,,,,매매,,,,,,,129.0814878,35.17328747,apt_master_info,POINT(129.0814878 35.17328747)
한신서래,서초구,,,,월세,,,,,,,127.0009202,37.49896339,apt_master_info,POINT(127.0009202 37.49896339)
마포센트럴 아이파크,마포구,,,,매매,,,,,,,127.0822667,37.67183957,apt_master_info,POINT(127.0822667 37.67183957)
태화(363),부평구,,,,매매,,,,,,,126.7245412,37.51105458,apt_master_info,POINT(126.7245412 37.51105458)
봉명시티빌,유성구,,,,매매,,,,,,,127.3491395,36.35883933,apt_master_info,POINT(127.3491395 36.35883933)
동서리치모아,북구,,,,매매,,,,,,,128.5975948,35.92398018,apt_master_info,POINT(128.5975948 35.92398018)
사당자이,동작구,,,,매매,,,,,,,126.9625521,37.48870925,apt_master_info,POINT(126.9625521 37.48870925)
용산서한화성1,달서구,,,,전세,,,,,,,128.5296599,35.85492308,apt_master_info,POINT(128.5296599 35.85492308)
협성노블리스,북구,,,,매매,,,,,,,129.3484603,35.63098874,apt_master_info,POINT(129.3484603 35.63098874)
온세솔내움,중랑구,,,,매매,,,,,,,127.0955879,37.58615189,apt_master_info,POINT(127.0955879 37.58615189)
